id,height,width,x,y,bbox_width,bbox_height
0,330,1093,69,464,312,175
1,782,439,359,292,83,199
3,645,831,297,312,267,167
34,943,608,275,112,319,290
20,593,857,71,368,146,147
61,587,745,177,463,68,302
16,430,405,78,295,54,237
41,513,1179,105,497,379,321
75,638,842,192,142,398,248
12,746,877,345,441,370,181
5,346,463,114,179,64,107
17,847,821,294,182,271,349
0,645,326,242,12,96,346
60,721,590,250,462,54,343
39,663,663,180,256,343,386
42,1001,663,398,73,248,342
61,469,725,221,99,282,109
75,815,808,376,231,368,142
54,865,1034,258,400,237,322
70,840,730,478,469,133,153
66,728,581,98,247,134,314
14,763,715,297,108,300,368
28,612,770,2,214,388,223
10,575,885,192,467,84,277
64,1002,395,494,177,169,135
12,738,862,93,340,248,268
40,220,265,13,31,104,113
16,1106,458,465,1,345,335
38,885,704,226,345,80,269
15,585,1115,27,425,308,275
42,802,410,438,277,88,262
35,787,951,250,343,301,299
15,739,461,147,157,159,202
6,960,889,420,326,206,399
17,612,349,136,26,169,150
12,461,835,7,370,279,215
51,544,557,219,128,244,213
46,698,750,349,183,260,63
8,754,712,65,272,126,326
71,856,781,456,406,252,131
32,731,754,273,141,217,58
74,646,797,169,338,186,338
76,692,886,272,481,229,78
45,392,931,37,431,352,118
65,861,582,475,179,240,287
78,932,921,323,460,136,261
54,1100,483,346,4,150,394
20,752,830,287,465,254,299
1,704,877,10,254,225,376
43,448,716,57,262,346,288
64,759,652,462,269,251,66
32,888,517,429,7,232,237
56,350,616,137,237,322,83
67,1084,538,440,279,161,284
57,646,893,108,403,292,229
4,636,762,56,415,296,182
75,626,1026,273,449,310,139
11,937,1051,470,419,392,279
34,707,366,433,115,126,152
28,570,578,174,203,302,165
31,882,427,437,127,71,161
2,474,472,146,32,381,123
3,816,860,111,180,361,369
70,815,743,200,323,108,252
8,905,728,428,303,339,161
64,283,604,32,7,302,78
17,600,817,30,270,235,383
58,449,395,229,77,261,44
32,519,773,307,185,227,127
8,708,668,231,428,115,390
13,714,432,83,236,137,277
69,680,1094,434,422,300,145
34,844,1059,344,330,390,280
0,496,768,106,174,366,47
18,659,574,256,102,197,101
60,903,630,491,75,397,62
49,661,578,277,234,131,329
30,761,829,260,397,344,168
58,902,749,284,161,344,374
42,684,967,290,462,386,132
16,911,860,413,433,186,218
36,1146,806,492,138,359,296
6,461,497,10,19,83,278
76,833,593,423,194,318,148
33,880,1071,268,341,368,247
33,753,981,387,486,193,156
31,754,770,239,340,333,338
52,595,644,143,481,102,347
54,601,837,185,291,220,109
68,828,429,219,11,294,230
36,660,699,263,272,185,231
73,691,550,23,23,129,392
58,247,855,46,169,375,97
52,387,845,11,391,144,258
75,846,701,426,244,160,216
